cluster_a,cluster_b,links,keywords_a,keywords_b
76,129,6,"qtde, medição, metragem","remessa, industrialização, retorno"
51,71,6,"mail assunto, email, abaixo","fpv, preço venda, cálculo"
86,122,6,"medida, unidade, qtde","pesagem, compensação, ofs"
51,127,6,"mail assunto, email, abaixo","kunden systems, marcio, systems convidado"
103,117,6,"fábrica lançamentos, apontamento rótulos, manufatura chão","cartão, emissão, componente"
76,86,6,"qtde, medição, metragem","medida, unidade, qtde"
86,104,6,"medida, unidade, qtde","apontamento, funcionário, desvio processo"
99,103,6,"multitarefa, cep, apontamento","fábrica lançamentos, apontamento rótulos, manufatura chão"
64,76,6,"produtos fabricação, mês, geração produtos","qtde, medição, metragem"
41,72,6,"situação, ocorrida, sobre","largura, equivocada, duramas"
41,52,6,"situação, ocorrida, sobre","descritivos técnicos, doc, curtume"
142,146,6,"fiscais, notas, fiscal saída","recebimento notas, fiscal, suprimentos recebimento"
15,146,6,"contra nota, abate, gera contra","recebimento notas, fiscal, suprimentos recebimento"
94,141,6,"vendas, planejamento, distribuição","faturamento, rota, liberação pedidos"
30,95,6,"composto, estoque, patch documentação","sql, movimento, estoque"
139,144,6,"crédito, risco, analise","faturamento, liberação, estabelecimento"
71,108,6,"fpv, preço venda, cálculo","distribuição pedidos, vendas distribuição, entrega"
73,74,6,"impressora, navegador, impressão","etiqueta, emissão, unidade produto"
118,119,6,"planejamento, minutos, turno","mestre produção, plano mestre, manufatura plano"
97,113,6,"planejamento, ofs, planos","meta, planejamento, recurso"
31,61,6,"dígitos, ean, contentor","painel, web, embalagem"
105,106,6,"instrução, embarque, cancelamento saldo","reserva, estoque futuro, lote"
61,94,6,"painel, web, embalagem","vendas, planejamento, distribuição"
71,92,6,"fpv, preço venda, cálculo","formula, tinta, materiais"
24,82,6,"duramas, queda, feira marcio","compras, necessidades, cotação"
108,141,6,"distribuição pedidos, vendas distribuição, entrega","faturamento, rota, liberação pedidos"
108,139,6,"distribuição pedidos, vendas distribuição, entrega","crédito, risco, analise"
26,108,6,"aplicar regra, venda documentação, produtos sku","distribuição pedidos, vendas distribuição, entrega"
23,120,6,"logs, job, tabelas","ivendre, ios, proposta"
24,77,6,"duramas, queda, feira marcio","email, envio, mails"
