cluster_a,cluster_b,links,keywords_a,keywords_b
78,138,4,"plano produção, entrega, planos","plano mestre, mestre produção, planejamento"
78,111,4,"plano produção, entrega, planos","semi, acabado, ofs"
48,80,4,"produtos fabricação, geração produtos, fabricação quando","assunto, mail, marcio"
31,99,4,"conta contábil, produtos fabricação, geração produtos","qtde, medição, metragem"
78,99,4,"plano produção, entrega, planos","qtde, medição, metragem"
109,136,4,"ticket, proceso, producción","abastecimento, suprimentos planejamento, materiais"
114,136,4,"flush, back, baixa","abastecimento, suprimentos planejamento, materiais"
119,122,4,"processo, recurso, relatório","abastecimento, ofs, materiais"
21,84,4,"labelli, pegada, vocês","sql, código, select"
146,147,4,"fiscais, notas, fiscal saída","recebimento notas, fiscal entrada, suprimentos recebimento"
105,130,4,"estoque, reserva, localização","schneider, marcio, reni"
88,147,4,"pré, recebimento, pre","recebimento notas, fiscal entrada, suprimentos recebimento"
11,147,4,"contra nota, abate, condena","recebimento notas, fiscal entrada, suprimentos recebimento"
25,119,4,"caixas, aproveitamento, lote","processo, recurso, relatório"
16,45,4,"controle embarque, embarque web, fiscais controle","embarque, controle, rótulos"
84,109,4,"sql, código, select","ticket, proceso, producción"
91,129,4,"fornecedor, wagner, nfs","entrada, chave, nfs"
59,135,4,"romaneio, saída, faturamento","remessa, industrialização, retorno"
105,135,4,"estoque, reserva, localização","remessa, industrialização, retorno"
115,119,4,"planejamento, ofs, planos","processo, recurso, relatório"
21,24,4,"labelli, pegada, vocês","logs, job, tabelas"
39,72,4,"pegada, patchs, frigolaste","ocorrida, sobre, situação"
17,80,4,"dígitos, ean, contentor","assunto, mail, marcio"
17,130,4,"dígitos, ean, contentor","schneider, marcio, reni"
104,133,4,"operações, propriedade, tempo","planejamento, minutos, recurso"
70,102,4,"rotulo, ler, caixa","rótulo, operação, coletor"
74,80,4,"controle acesso, aplicar ajuste, aplicação participará","assunto, mail, marcio"
49,54,4,"etiqueta, embalagem, painel","painel embalagem, embalagem web, web painel"
