from_chunk,to_chunk,similarity,relation,shared_programs,from_cluster,to_cluster,from_title,to_title
212-81,212-82,0.935,same_document,FATU3 RECE34,136,40,"Notas Fiscais de Entrada (FATU3) — Vocês tem alguma validação para esta situação, envolvendo NF de Entrada gerada pelo…","FATU239 — Vocês tem alguma validação para esta situação, envolvendo NF de Entrada gerada pelo…"
212-81,213-104,0.923,other_document,FATU3 RECE34,136,136,"Notas Fiscais de Entrada (FATU3) — Vocês tem alguma validação para esta situação, envolvendo NF de Entrada gerada pelo…","Monitor Notas Fiscais Saída (FATU61) — Visto em 140223, na implantação Aniger"
212-81,213-127,0.903,other_document,FATU3,136,136,"Notas Fiscais de Entrada (FATU3) — Vocês tem alguma validação para esta situação, envolvendo NF de Entrada gerada pelo…","Monitor Notas Fiscais Saída (FATU61) — Labelli, ARQUIVAR O ABAIXO...para a NF ficar REGISTRADA no FATU61, é o seguinte"
212-81,213-15,0.902,other_document,,136,136,"Notas Fiscais de Entrada (FATU3) — Vocês tem alguma validação para esta situação, envolvendo NF de Entrada gerada pelo…",Monitor Notas Fiscais Saída (FATU61) — Para este erro ocorrido na GS em 080719
212-82,211-38,0.995,other_document,RECE34,40,40,"FATU239 — Vocês tem alguma validação para esta situação, envolvendo NF de Entrada gerada pelo…","Subcontratadas (RECE34) — Vocês tem alguma validação para esta situação, envolvendo NF de Entrada gerada pelo…"
212-82,212-81,0.935,same_document,FATU3 RECE34,40,136,"FATU239 — Vocês tem alguma validação para esta situação, envolvendo NF de Entrada gerada pelo…","Notas Fiscais de Entrada (FATU3) — Vocês tem alguma validação para esta situação, envolvendo NF de Entrada gerada pelo…"
212-82,721-3,0.925,other_document,,40,40,"FATU239 — Vocês tem alguma validação para esta situação, envolvendo NF de Entrada gerada pelo…","Está OK a rotina de geração de NF a partir do programa “Remessa”, que é para as Notas de"
212-82,721-2,0.923,other_document,,40,40,"FATU239 — Vocês tem alguma validação para esta situação, envolvendo NF de Entrada gerada pelo…","Estruturação de Produto (EPRO15) — Está OK a rotina de geração de NF a partir do programa “Remessa”, que é para as Notas de"
212-82,213-126,0.921,other_document,,40,40,"FATU239 — Vocês tem alguma validação para esta situação, envolvendo NF de Entrada gerada pelo…",Monitor Notas Fiscais Saída (FATU61) — Labelli
212-83,212-84,0.942,same_document,FATU3,136,136,"Pessoas Físicas/Jurídicas (ADMI34) — vista em visita, ismael para identificar, importação de material","Notas Fiscais de Entrada (FATU3) — ctas a pagar, vista na smart, ismael para identificar"
212-83,213-109,0.930,other_document,FATU3,136,136,"Pessoas Físicas/Jurídicas (ADMI34) — vista em visita, ismael para identificar, importação de material",Monitor Notas Fiscais Saída (FATU61) — Visto em 190523 numa vista na Smart
212-83,292-11,0.920,other_document,,136,136,"Pessoas Físicas/Jurídicas (ADMI34) — vista em visita, ismael para identificar, importação de material","CFOP ATRIBUÍDA ESTÁ INCORRETA Rotina (FATU124) — diversas nfs, visto com aline, log de erro"
212-83,327-44,0.911,other_document,,136,-1,"Pessoas Físicas/Jurídicas (ADMI34) — vista em visita, ismael para identificar, importação de material","Disponível (FATU110) — Na Smart, em 270521"
212-83,336-14,0.911,other_document,,136,-1,"Pessoas Físicas/Jurídicas (ADMI34) — vista em visita, ismael para identificar, importação de material","Situação em 27032015, na Pegada"
212-84,212-83,0.942,same_document,FATU3,136,136,"Notas Fiscais de Entrada (FATU3) — ctas a pagar, vista na smart, ismael para identificar","Pessoas Físicas/Jurídicas (ADMI34) — vista em visita, ismael para identificar, importação de material"
212-84,213-109,0.926,other_document,FATU3,136,136,"Notas Fiscais de Entrada (FATU3) — ctas a pagar, vista na smart, ismael para identificar",Monitor Notas Fiscais Saída (FATU61) — Visto em 190523 numa vista na Smart
212-84,292-11,0.917,other_document,,136,136,"Notas Fiscais de Entrada (FATU3) — ctas a pagar, vista na smart, ismael para identificar","CFOP ATRIBUÍDA ESTÁ INCORRETA Rotina (FATU124) — diversas nfs, visto com aline, log de erro"
212-84,301-2,0.912,other_document,FATU3,136,-1,"Notas Fiscais de Entrada (FATU3) — ctas a pagar, vista na smart, ismael para identificar","Notas Fiscais de Entrada (FATU3) — A instrução abaixo foi passada a Martinho por email, em 08/03/2011"
212-84,302-0,0.909,other_document,FATU3,136,136,"Notas Fiscais de Entrada (FATU3) — ctas a pagar, vista na smart, ismael para identificar","Notas Fiscais de Entrada (FATU3) — produtor, depois de recebido, acordo com configurações"
212-85,886-4,0.905,other_document,,-1,-1,Voltar o abaixo...updates para permitir passar pela mensagem KND-002495 tela abaixo,Problemas con tickets necesaides
212-85,873-19,0.904,other_document,,-1,39,Voltar o abaixo...updates para permitir passar pela mensagem KND-002495 tela abaixo,ayuda a borrar registro
212-85,213-26,0.902,other_document,,-1,51,Voltar o abaixo...updates para permitir passar pela mensagem KND-002495 tela abaixo,"Monitor Notas Fiscais Saída (FATU61) — deseja continuar aguardando, tempo de processamento, excedido"
212-85,89-45,0.900,other_document,,-1,-1,Voltar o abaixo...updates para permitir passar pela mensagem KND-002495 tela abaixo,"ERROR EN CUMPLIDO Oi Cesar,"
212-85,871-0,0.899,other_document,,-1,51,Voltar o abaixo...updates para permitir passar pela mensagem KND-002495 tela abaixo,"IN Satra (ADMI151) — generación del archivo, pois gera, duvida"
212-86,212-79,0.945,same_document,,-1,-1,"CUST2 — validação do custeio, retorno de terceiros, ofs já produzidas",NOTAS FISCAIS DE ENTRADA - VALIDAÇÃO CUSTEIO Rotina
212-86,177-71,0.944,other_document,,-1,-1,"CUST2 — validação do custeio, retorno de terceiros, ofs já produzidas",CUST13 — NOTAS FISCAIS DE ENTRADA - VALIDAÇÃO CUSTEIO Rotina
212-86,331-3,0.929,other_document,RECE7,-1,132,"CUST2 — validação do custeio, retorno de terceiros, ofs já produzidas",Retorno Remessas (RECE7) — RETORNO DE REMESSA INDUSTRIALIZAÇÃO - AJUSTAR VALIDAÇÃO DE OFS CUSTEADAS ROTINA
212-86,331-1,0.918,other_document,RECE7,-1,132,"CUST2 — validação do custeio, retorno de terceiros, ofs já produzidas","Retorno Remessas (RECE7) — retorno de remessa, ofs já produzidas, suprimentos recebimento notas"
212-86,686-11,0.917,other_document,FATU3,-1,-1,"CUST2 — validação do custeio, retorno de terceiros, ofs já produzidas","Notas Fiscais de Entrada (FATU3) — data de entrada, situação pré recebimento, porém necessita realizar"
212-87,762-1,1.000,other_document,ADMI65 ADMI99,146,146,"ADMI65 — regras tributação, produto for importado, percentuais é realizado","Regras Tributação ICMS Produtos Importados (ADMI99) — regras tributação, produto for importado, percentuais é realizado"
212-87,212-77,0.913,same_document,FATU3,146,146,"ADMI65 — regras tributação, produto for importado, percentuais é realizado",Recebimento de compras (COMP5) — FATU3 - % IPI DA COTAÇÃO NÃO ESTÁ SENDO VALIDADO NA NF DE RECEBIMENTO DO PEDIDO DE COMPRA
212-87,212-88,0.910,same_document,FATU3,146,146,"ADMI65 — regras tributação, produto for importado, percentuais é realizado","Pessoas Físicas/Jurídicas (ADMI34) — produto da nota, regra de tributação, incentivo fiscal"
212-87,761-1,0.910,other_document,FATU3,146,146,"ADMI65 — regras tributação, produto for importado, percentuais é realizado","Gravar ID da Regra de Tributação Especial (ADMI66) — produto da nota, regra de tributação, incentivo fiscal"
212-87,761-4,0.904,other_document,FATU3,146,142,"ADMI65 — regras tributação, produto for importado, percentuais é realizado","Gravar ID da Regra de Tributação Especial (ADMI66) — regra de tributação, select é visto, nota para melhorar"
212-88,761-1,1.000,other_document,ADMI34 FATU3,146,146,"Pessoas Físicas/Jurídicas (ADMI34) — produto da nota, regra de tributação, incentivo fiscal","Gravar ID da Regra de Tributação Especial (ADMI66) — produto da nota, regra de tributação, incentivo fiscal"
212-88,212-50,0.913,same_document,,146,146,"Pessoas Físicas/Jurídicas (ADMI34) — produto da nota, regra de tributação, incentivo fiscal",Consulta Estoque Produto (ESTO7) — Suprimentos Recebimento Notas Fiscais
212-88,212-77,0.912,same_document,FATU3,146,146,"Pessoas Físicas/Jurídicas (ADMI34) — produto da nota, regra de tributação, incentivo fiscal",Recebimento de compras (COMP5) — FATU3 - % IPI DA COTAÇÃO NÃO ESTÁ SENDO VALIDADO NA NF DE RECEBIMENTO DO PEDIDO DE COMPRA
212-88,292-39,0.912,other_document,,146,147,"Pessoas Físicas/Jurídicas (ADMI34) — produto da nota, regra de tributação, incentivo fiscal",CFOP ATRIBUÍDA ESTÁ INCORRETA Rotina (FATU124) — Verificar erros relacionado a importação de nota de entrada via XML ¿ FATU124 Rotina
212-88,762-1,0.910,other_document,,146,146,"Pessoas Físicas/Jurídicas (ADMI34) — produto da nota, regra de tributação, incentivo fiscal","Regras Tributação ICMS Produtos Importados (ADMI99) — regras tributação, produto for importado, percentuais é realizado"
212-89,212-89,1.000,same_topic,ADMI166 FATU3,-1,-1,"ADMI166 — data de entrada, situação pré recebimento, porém necessita realizar","ADMI166 — data de entrada, situação pré recebimento, porém necessita realizar"
212-89,212-110,0.943,same_document,FATU3,-1,-1,"ADMI166 — data de entrada, situação pré recebimento, porém necessita realizar",Notas Fiscais de Entrada (FATU3) — Verificar e resolver a razão do erro KND-001039 ao tentar confirmar nota fiscal de…
212-89,732-1,0.929,other_document,FATU3,-1,146,"ADMI166 — data de entrada, situação pré recebimento, porém necessita realizar",Condições de Pagamento (ADMI19) — ALTERA (indevidamente) A DATA DA PARCELA FATURA NA NOTA FISCAL ENTRADA Rotina
212-89,212-107,0.929,same_document,FATU3,-1,146,"ADMI166 — data de entrada, situação pré recebimento, porém necessita realizar",Administração Cadastros Parâmetros (ADMI8) — ALTERA (indevidamente) A DATA DA PARCELA FATURA NA NOTA FISCAL ENTRADA Rotina: [Imagem:…
212-89,686-9,0.927,other_document,FATU3,-1,146,"ADMI166 — data de entrada, situação pré recebimento, porém necessita realizar","Consulta Estoque Produto (ESTO7) — FATU3 - AO ALTERAR NFE QUE JÁ ESTAVA CONFIRMADA, A MESMA CONFIRMA COM A DATA DO DIA ATUAL"
212-90,235-61,1.000,other_document,,-1,-1,"valorização da entrada, precisaria ser testada, melhor para certeza","Plano de Produção (MPSP5) — valorização da entrada, precisaria ser testada, melhor para certeza"
212-90,235-12,0.928,other_document,,-1,41,"valorização da entrada, precisaria ser testada, melhor para certeza","saldo em industrialização, importaram, virada"
212-90,593-2,0.922,other_document,,-1,41,"valorização da entrada, precisaria ser testada, melhor para certeza","partir do próximo, estoque futuro, disponibiliza"
212-90,235-15,0.920,other_document,,-1,-1,"valorização da entrada, precisaria ser testada, melhor para certeza",Erro de estoque Minha opinião
212-90,212-33,0.919,same_document,,-1,41,"valorização da entrada, precisaria ser testada, melhor para certeza","ver uma alternativa, sistema não permite, lançamentos retroativos"
212-91,498-1,0.994,other_document,FATU6,-1,-1,Notas Fiscais de Entrada (FATU3) — ROTINA NOVA - DESENVOLVER UMA OPÇÃO DE CONFERÊNCIA DOS LOTES PARA NOTAS DE DEVOLUÇÃO…,Recebimento Devoluções de Consignação (FATU6) — ROTINA NOVA - DESENVOLVER UMA OPÇÃO DE CONFERÊNCIA DOS LOTES PARA NOTAS DE DEVOLUÇÃO…
212-91,212-105,0.941,same_document,FATU3,-1,-1,Notas Fiscais de Entrada (FATU3) — ROTINA NOVA - DESENVOLVER UMA OPÇÃO DE CONFERÊNCIA DOS LOTES PARA NOTAS DE DEVOLUÇÃO…,Notas Fiscais de Entrada (FATU3) — Bloquear Confirmação de NFs de entrada onde a validade dos lotes estejam vencidos Rotina
212-91,274-10,0.929,other_document,FATU6,-1,-1,Notas Fiscais de Entrada (FATU3) — ROTINA NOVA - DESENVOLVER UMA OPÇÃO DE CONFERÊNCIA DOS LOTES PARA NOTAS DE DEVOLUÇÃO…,Rótulos (FATU104) + Recebimento Devoluções de Consignação (FATU6) — DEVOLUÇÃO DE VENDA - CRIAR OPÇÃO DE PODER SELECIONAR OS LOTES QUE ESTÃO SENDO DEVOLVIDOS…
212-91,212-78,0.922,same_document,FATU3,-1,-1,Notas Fiscais de Entrada (FATU3) — ROTINA NOVA - DESENVOLVER UMA OPÇÃO DE CONFERÊNCIA DOS LOTES PARA NOTAS DE DEVOLUÇÃO…,Administração Cadastros Parâmetros (ADMI8) — PARÂMETROS - ADMI8 - CRIAR PARÂMETRO GERAL VALIDA_LOTE_FAT_REC Rotina
212-91,502-38,0.916,other_document,FATU3,-1,-1,Notas Fiscais de Entrada (FATU3) — ROTINA NOVA - DESENVOLVER UMA OPÇÃO DE CONFERÊNCIA DOS LOTES PARA NOTAS DE DEVOLUÇÃO…,Notas Fiscais de Entrada (FATU3) — NOTA FISCAL DE ENTRADA - IMPORTAR ARQUIVO EM EXCEL DE LOTES PARA A NF E TRATAR LEITURA…
212-92,212-92,1.000,same_topic,ADMI6 FATU110 FATU2 FATU3,-1,-1,"Programas (ADMI6) — INCLUIR NOVA ABA ¿PED.CLIENTE¿COM OS CAMPOS XPED E NITEMPED NO PROGRAMA FATU3, para…","Programas (ADMI6) — INCLUIR NOVA ABA ¿PED.CLIENTE¿COM OS CAMPOS XPED E NITEMPED NO PROGRAMA FATU3, para…"
212-92,327-52,0.974,other_document,ADMI6 FATU110 FATU2 FATU3,-1,-1,"Programas (ADMI6) — INCLUIR NOVA ABA ¿PED.CLIENTE¿COM OS CAMPOS XPED E NITEMPED NO PROGRAMA FATU3, para…","Disponível (FATU110) — INCLUIR NOVA ABA ¿PED.CLIENTE¿COM OS CAMPOS XPED E NITEMPED NO PROGRAMA FATU3, para…"
212-92,213-82,0.931,other_document,FATU110,-1,-1,"Programas (ADMI6) — INCLUIR NOVA ABA ¿PED.CLIENTE¿COM OS CAMPOS XPED E NITEMPED NO PROGRAMA FATU3, para…","Monitor Notas Fiscais Saída (FATU61) — MONITOR NOTAS FISCAIS ELETRÔNICA: GERAR AS TAGS ""<XPED>"" E ""<NITEMPED>"" PARA DETERMINADO…"
212-92,211-118,0.927,other_document,FATU2,-1,142,"Programas (ADMI6) — INCLUIR NOVA ABA ¿PED.CLIENTE¿COM OS CAMPOS XPED E NITEMPED NO PROGRAMA FATU3, para…","Nota Fiscal de Saída (FATU2) — NOTA FISCAL DE SAÍDA - FATU2 - CRIAR CAMPOS ""XPED"" E ""NITEMPED"" NO PROGRAMA FATU2 E LEVAR…"
212-92,211-32,0.924,other_document,FATU2 FATU3,-1,131,"Programas (ADMI6) — INCLUIR NOVA ABA ¿PED.CLIENTE¿COM OS CAMPOS XPED E NITEMPED NO PROGRAMA FATU3, para…",CEXT85 — PARAMETRO DE INICIALIZAÇÃO NOVO NOS PROGRAMAS QUE MONTAM NF (SAIDA ENTRADA)
212-93,761-2,1.000,other_document,ADMI66 FATU3 RECE2,142,142,Gravar ID da Regra de Tributação Especial (ADMI66) — CRIAR UM PARÂMETRO GERAL AONDE TODAS AS NOTAS FISCAIS DE ENTRADA COM PIS/COFINS ENTRARÃO…,Gravar ID da Regra de Tributação Especial (ADMI66) — CRIAR UM PARÂMETRO GERAL AONDE TODAS AS NOTAS FISCAIS DE ENTRADA COM PIS/COFINS ENTRARÃO…
212-93,534-149,1.000,other_document,ADMI66 FATU3 RECE2,142,142,Gravar ID da Regra de Tributação Especial (ADMI66) — CRIAR UM PARÂMETRO GERAL AONDE TODAS AS NOTAS FISCAIS DE ENTRADA COM PIS/COFINS ENTRARÃO…,ADMI49 — CRIAR UM PARÂMETRO GERAL AONDE TODAS AS NOTAS FISCAIS DE ENTRADA COM PIS/COFINS ENTRARÃO…
212-93,259-15,1.000,other_document,ADMI66 FATU3 RECE2,142,142,Gravar ID da Regra de Tributação Especial (ADMI66) — CRIAR UM PARÂMETRO GERAL AONDE TODAS AS NOTAS FISCAIS DE ENTRADA COM PIS/COFINS ENTRARÃO…,Operação no cadastro de Operações (RECE2) — CRIAR UM PARÂMETRO GERAL AONDE TODAS AS NOTAS FISCAIS DE ENTRADA COM PIS/COFINS ENTRARÃO…
212-93,668-32,1.000,other_document,ADMI66 FATU3 RECE2,142,142,Gravar ID da Regra de Tributação Especial (ADMI66) — CRIAR UM PARÂMETRO GERAL AONDE TODAS AS NOTAS FISCAIS DE ENTRADA COM PIS/COFINS ENTRARÃO…,Cotação (COMP14) — CRIAR UM PARÂMETRO GERAL AONDE TODAS AS NOTAS FISCAIS DE ENTRADA COM PIS/COFINS ENTRARÃO…
212-93,212-111,0.919,same_document,ADMI66 FATU3,142,142,Gravar ID da Regra de Tributação Especial (ADMI66) — CRIAR UM PARÂMETRO GERAL AONDE TODAS AS NOTAS FISCAIS DE ENTRADA COM PIS/COFINS ENTRARÃO…,"Gravar ID da Regra de Tributação Especial (ADMI66) — regra de tributação, select é visto, nota para melhorar"
212-94,212-94,1.000,same_topic,,142,142,"regra de tributação, nota para melhorar, coluna ao item","regra de tributação, nota para melhorar, coluna ao item"
212-94,211-162,0.990,other_document,,142,142,"regra de tributação, nota para melhorar, coluna ao item","Gravar ID da Regra de Tributação Especial (ADMI66) — regra de tributação, nota para melhorar, coluna ao item"
212-94,212-111,0.964,same_document,,142,142,"regra de tributação, nota para melhorar, coluna ao item","Gravar ID da Regra de Tributação Especial (ADMI66) — regra de tributação, select é visto, nota para melhorar"
212-94,761-4,0.964,other_document,,142,142,"regra de tributação, nota para melhorar, coluna ao item","Gravar ID da Regra de Tributação Especial (ADMI66) — regra de tributação, select é visto, nota para melhorar"
212-94,211-146,0.934,other_document,,142,142,"regra de tributação, nota para melhorar, coluna ao item","Nota Fiscal de Saída (FATU2) — totais de impostos, desde o patch, nota fiscal estornada"
212-95,212-95,1.000,same_topic,,-1,-1,Dúvida CFOP,Dúvida CFOP
212-95,259-18,0.938,other_document,,-1,-1,Dúvida CFOP,"Operação no cadastro de Operações (RECE2) — Dúvida CFOP Boa tarde Marcio, Agradeço pelo retorno!"
212-95,212-97,0.938,same_document,,-1,-1,Dúvida CFOP,"Dúvida CFOP Boa tarde Marcio, Agradeço pelo retorno!"
212-95,212-96,0.920,same_document,,-1,-1,Dúvida CFOP,Notas Fiscais de Entrada (FATU3) — Dúvida CFOP
212-95,259-17,0.920,other_document,,-1,-1,Dúvida CFOP,Operação no cadastro de Operações (RECE2) — Dúvida CFOP
212-96,259-17,1.000,other_document,FATU3,-1,-1,Notas Fiscais de Entrada (FATU3) — Dúvida CFOP,Operação no cadastro de Operações (RECE2) — Dúvida CFOP
212-96,259-19,0.944,other_document,,-1,-1,Notas Fiscais de Entrada (FATU3) — Dúvida CFOP,"Operação no cadastro de Operações (RECE2) — Dúvida CFOP Boa tarde,"
212-96,212-98,0.944,same_document,,-1,-1,Notas Fiscais de Entrada (FATU3) — Dúvida CFOP,"Operação no cadastro de Operações (RECE2) — Dúvida CFOP Boa tarde,"
212-96,211-55,0.921,other_document,,-1,135,Notas Fiscais de Entrada (FATU3) — Dúvida CFOP,Nota Fiscal de Saída (FATU2) — usuário digita a NF para um Fornecedor ou cliente...mas em dado momento se dá conta que é…
212-96,259-16,0.920,other_document,,-1,-1,Notas Fiscais de Entrada (FATU3) — Dúvida CFOP,Operação no cadastro de Operações (RECE2) — Dúvida CFOP
212-97,212-97,1.000,same_topic,,-1,-1,"Dúvida CFOP Boa tarde Marcio, Agradeço pelo retorno!","Dúvida CFOP Boa tarde Marcio, Agradeço pelo retorno!"
212-97,212-95,0.938,same_document,,-1,-1,"Dúvida CFOP Boa tarde Marcio, Agradeço pelo retorno!",Dúvida CFOP
212-97,259-16,0.938,other_document,,-1,-1,"Dúvida CFOP Boa tarde Marcio, Agradeço pelo retorno!",Operação no cadastro de Operações (RECE2) — Dúvida CFOP
212-97,259-19,0.910,other_document,,-1,-1,"Dúvida CFOP Boa tarde Marcio, Agradeço pelo retorno!","Operação no cadastro de Operações (RECE2) — Dúvida CFOP Boa tarde,"
212-97,212-98,0.910,same_document,,-1,-1,"Dúvida CFOP Boa tarde Marcio, Agradeço pelo retorno!","Operação no cadastro de Operações (RECE2) — Dúvida CFOP Boa tarde,"
212-98,259-19,1.000,other_document,RECE2,-1,-1,"Operação no cadastro de Operações (RECE2) — Dúvida CFOP Boa tarde,","Operação no cadastro de Operações (RECE2) — Dúvida CFOP Boa tarde,"
212-98,212-96,0.944,same_document,,-1,-1,"Operação no cadastro de Operações (RECE2) — Dúvida CFOP Boa tarde,",Notas Fiscais de Entrada (FATU3) — Dúvida CFOP
212-98,259-17,0.944,other_document,RECE2,-1,-1,"Operação no cadastro de Operações (RECE2) — Dúvida CFOP Boa tarde,",Operação no cadastro de Operações (RECE2) — Dúvida CFOP
212-98,212-97,0.910,same_document,,-1,-1,"Operação no cadastro de Operações (RECE2) — Dúvida CFOP Boa tarde,","Dúvida CFOP Boa tarde Marcio, Agradeço pelo retorno!"
212-98,259-18,0.910,other_document,RECE2,-1,-1,"Operação no cadastro de Operações (RECE2) — Dúvida CFOP Boa tarde,","Operação no cadastro de Operações (RECE2) — Dúvida CFOP Boa tarde Marcio, Agradeço pelo retorno!"
212-99,212-102,0.961,same_document,FATU3 FATU61,146,147,"Nota Fiscal de Saída (FATU2) — fiscal de entrada, pois a nota, envio do evento",CEXC109 — Cancelar notas fiscais de entrada sem precisar gerar o XML
212-99,292-2,0.931,other_document,,146,147,"Nota Fiscal de Saída (FATU2) — fiscal de entrada, pois a nota, envio do evento",CFOP ATRIBUÍDA ESTÁ INCORRETA Rotina (FATU124) — IMPORTAÇÃO DE NOTAS FISCAIS DE ENTRADA POR XML - FATU124 - SISTEMA ESTA VINCULANDO CÓDIGO…
212-99,485-11,0.929,other_document,FATU3,146,15,"Nota Fiscal de Saída (FATU2) — fiscal de entrada, pois a nota, envio do evento",Frigorífico (RECE50) — VERIFICAR E CORRIGIR RELATÓRIO QUE NÃO ESTÁ CALCULANDO CORRETAMENTE - SITUAÇÃO SIMILAR…
212-99,485-18,0.929,other_document,,146,15,"Nota Fiscal de Saída (FATU2) — fiscal de entrada, pois a nota, envio do evento","Frigorífico (RECE50) — contra nota fiscal, entrada frigorífico alteração, recebimentos notas fiscais"
212-99,211-86,0.928,other_document,,146,-1,"Nota Fiscal de Saída (FATU2) — fiscal de entrada, pois a nota, envio do evento","cancelamento da nota, suprimentos recebimento notas, fiscal de entrada"
212-100,211-147,1.000,other_document,ESTO19 ESTO20,-1,-1,"Registro Controle Produção e Estoque (ESTO19) — Revisar o cálculo do custo médio, e custo de entrada de estoque, do Produto 1041196","Registro Controle Produção e Estoque (ESTO19) — Revisar o cálculo do custo médio, e custo de entrada de estoque, do Produto 1041196"
212-100,235-70,0.999,other_document,ESTO19 ESTO20,-1,-1,"Registro Controle Produção e Estoque (ESTO19) — Revisar o cálculo do custo médio, e custo de entrada de estoque, do Produto 1041196","Registro Controle Produção e Estoque (ESTO19) — Revisar o cálculo do custo médio, e custo de entrada de estoque, do Produto 1041196"
212-100,235-73,0.929,other_document,ESTO19 ESTO20,-1,95,"Registro Controle Produção e Estoque (ESTO19) — Revisar o cálculo do custo médio, e custo de entrada de estoque, do Produto 1041196","Encerramento de Ordem de Fabricação (CFAB1) — lançamentos de estoques, seriam os corretos, trans estoque atm"
212-100,235-48,0.925,other_document,FATU3,-1,-1,"Registro Controle Produção e Estoque (ESTO19) — Revisar o cálculo do custo médio, e custo de entrada de estoque, do Produto 1041196",Consulta Estoque Produto (ESTO7) — Observação: HK tem Localização Padrão informada no Produto
212-100,235-76,0.925,other_document,ESTO19,-1,-1,"Registro Controle Produção e Estoque (ESTO19) — Revisar o cálculo do custo médio, e custo de entrada de estoque, do Produto 1041196",Registro Controle Produção e Estoque (ESTO19) — Revisar e corrigir rotina de conta de chegada
212-101,181-1,1.000,other_document,COMP3 ESTO15 ESTO2 ESTO23 ESTO3 FATU2 FATU3,-1,-1,Pedido de Compras (COMP3) — Desabilitar produtos a nível sintético,Devoluções (ESTO3) — Desabilitar produtos a nível sintético
212-101,194-16,1.000,other_document,COMP3 ESTO15 ESTO2 ESTO23 ESTO3 FATU2 FATU3,-1,-1,Pedido de Compras (COMP3) — Desabilitar produtos a nível sintético,Livro Inventário (ESTO15) — Desabilitar produtos a nível sintético
212-101,252-10,1.000,other_document,COMP3 ESTO15 ESTO2 ESTO23 ESTO3 FATU2 FATU3,-1,-1,Pedido de Compras (COMP3) — Desabilitar produtos a nível sintético,Transferência entre Localização (ESTO23) — Desabilitar produtos a nível sintético. [Imagem: ESTO7] Rotina
212-101,190-4,1.000,other_document,COMP3 ESTO15 ESTO2 ESTO23 ESTO3 FATU2 FATU3,-1,-1,Pedido de Compras (COMP3) — Desabilitar produtos a nível sintético,Implantação de Saldo (ESTO2) — Desabilitar produtos a nível sintético
212-101,678-86,1.000,other_document,COMP3 ESTO15 ESTO2 ESTO23 ESTO3 FATU2 FATU3,-1,-1,Pedido de Compras (COMP3) — Desabilitar produtos a nível sintético,Pedido de Compras (COMP3) — Desabilitar produtos a nível sintético
212-102,212-99,0.961,same_document,FATU3 FATU61,147,146,CEXC109 — Cancelar notas fiscais de entrada sem precisar gerar o XML,"Nota Fiscal de Saída (FATU2) — fiscal de entrada, pois a nota, envio do evento"
212-102,292-2,0.939,other_document,,147,147,CEXC109 — Cancelar notas fiscais de entrada sem precisar gerar o XML,CFOP ATRIBUÍDA ESTÁ INCORRETA Rotina (FATU124) — IMPORTAÇÃO DE NOTAS FISCAIS DE ENTRADA POR XML - FATU124 - SISTEMA ESTA VINCULANDO CÓDIGO…
212-102,292-27,0.930,other_document,,147,147,CEXC109 — Cancelar notas fiscais de entrada sem precisar gerar o XML,CFOP ATRIBUÍDA ESTÁ INCORRETA Rotina (FATU124) — VERIFICAR MOTIVO DE TRANCAR O PROGRAMA FATU124 QUANDO CLICA NA ABA DE NOTAS FISCAIS Rotina
212-102,292-38,0.920,other_document,FATU3,147,147,CEXC109 — Cancelar notas fiscais de entrada sem precisar gerar o XML,CFOP ATRIBUÍDA ESTÁ INCORRETA Rotina (FATU124) — FATU124/FATU3 - Verificar importação de notas de devolução gerando nota de entrada com…
212-102,212-80,0.916,same_document,FATU3,147,146,CEXC109 — Cancelar notas fiscais de entrada sem precisar gerar o XML,Notas Fiscais de Entrada (FATU3) — NOTA FISCAL DE ENTRADA - BLOQUEAR O LANÇAMENTO DA NOTA FISCAL DE ACORDO COM A POSIÇÃO NO…
212-103,732-1,0.943,other_document,FATU3,146,146,"Notas Fiscais de Entrada (FATU3) — Corrigir rotina quando alterado a data no FATU3, os programas de lançamento e fiscais…",Condições de Pagamento (ADMI19) — ALTERA (indevidamente) A DATA DA PARCELA FATURA NA NOTA FISCAL ENTRADA Rotina
212-103,212-107,0.943,same_document,FATU3,146,146,"Notas Fiscais de Entrada (FATU3) — Corrigir rotina quando alterado a data no FATU3, os programas de lançamento e fiscais…",Administração Cadastros Parâmetros (ADMI8) — ALTERA (indevidamente) A DATA DA PARCELA FATURA NA NOTA FISCAL ENTRADA Rotina: [Imagem:…
212-103,686-9,0.935,other_document,FATU3,146,146,"Notas Fiscais de Entrada (FATU3) — Corrigir rotina quando alterado a data no FATU3, os programas de lançamento e fiscais…","Consulta Estoque Produto (ESTO7) — FATU3 - AO ALTERAR NFE QUE JÁ ESTAVA CONFIRMADA, A MESMA CONFIRMA COM A DATA DO DIA ATUAL"
212-103,212-70,0.933,same_document,FATU3,146,146,"Notas Fiscais de Entrada (FATU3) — Corrigir rotina quando alterado a data no FATU3, os programas de lançamento e fiscais…",Organizações (ADMI24) — FATU3 - VERIFICAR NF QUE NÃO ESTÁ ALTERANDO Rotina
212-103,212-76,0.929,same_document,FATU3,146,-1,"Notas Fiscais de Entrada (FATU3) — Corrigir rotina quando alterado a data no FATU3, os programas de lançamento e fiscais…",CONT10 — COLOCAR VALIDAÇÃO NO MOMENTO EM QUE FOR LANÇAR NF SISTEMA DEVERA EXIGIR A CLASSIFICAÇÃO…
