from,to,together,documents,from_baskets,to_baskets,confidence,lift,conviction,cross_module,kind,evidence,score
CFAB83,CFAB86,3,3,11,17,0.273,123.37,1.37,0,program->program,121-45 135-0 139-1,2.431
ESTO8,ESTO13,3,3,11,30,0.273,69.91,1.37,0,program->program,195-2 880-3 950-0,2.431
TERC2,ESTO25,5,5,14,336,0.357,8.17,1.49,1,program->program,211-32 530-1 918-1,2.431
CPRO2,CPRO1,3,3,11,18,0.273,116.52,1.37,0,program->program,515-3 665-0 830-2,2.431
MIND14,MIND11,3,3,11,6,0.273,349.55,1.37,0,program->program,833-1 850-0 851-0,2.431
COMP24,CFAB7,3,3,11,38,0.273,55.19,1.37,1,program->program,918-0 920-0 961-0,2.431
COMP24,ESTO13,3,3,11,30,0.273,69.91,1.37,1,program->program,918-0 920-0 961-0,2.431
COMP24,TERC1,3,3,11,33,0.273,63.55,1.37,1,program->program,918-1 920-0 961-1,2.431
COMP24,TERC10,3,3,11,18,0.273,116.52,1.37,1,program->program,918-1 920-0 961-1,2.431
COMP24,TERC2,3,3,11,14,0.273,149.81,1.37,1,program->program,918-1 920-0 961-1,2.431
COMP24,TERC3,3,3,11,27,0.273,77.68,1.37,1,program->program,918-1 920-0 961-1,2.431
COMP24,TERC4,3,3,11,4,0.273,524.32,1.37,1,program->program,918-1 920-0 961-1,2.431
COMP24,TERC5,3,3,11,6,0.273,349.55,1.37,1,program->program,918-1 920-0 961-1,2.431
ESTO2,ESTO15,6,5,30,44,0.2,34.95,1.24,0,program->program,181-1 194-18 240-7,2.429
ESTO112,ESTO25,21,14,88,336,0.239,5.46,1.26,0,program->program,120-8 121-43 132-15,2.427
ESTO31,ESTO25,3,3,6,336,0.5,11.44,1.91,0,program->program,121-49 215-19 932-1,2.425
CFAB39,ESTO25,3,3,6,336,0.5,11.44,1.91,1,program->program,142-0 345-12 403-8,2.425
ESTO3,ESTO7,8,6,26,308,0.308,7.68,1.39,0,program->program,193-7 252-10 877-1,2.414
COMP75,COMP6,7,3,30,20,0.233,89.72,1.3,0,program->program,679-6 683-97 684-25,2.406
FATU111,ESTO7,4,3,9,308,0.444,11.1,1.73,1,program->program,162-1 282-5 882-0,2.398
PEDI127,PEDI46,4,4,19,25,0.211,64.76,1.26,0,program->program,39-0 891-1 896-1,2.395
MIND1,MIND6,4,3,16,6,0.25,320.42,1.33,0,program->program,843-6 848-0 849-15,2.388
CFAB19,CFAB59,4,4,14,112,0.286,19.62,1.38,0,program->program,97-9 129-1 139-0,2.385
PEDI127,ADMI122,4,4,19,33,0.211,49.06,1.26,1,program->program,39-0 810-4 891-1,2.383
EPRO32,ADMI34,5,3,16,111,0.312,21.65,1.43,1,program->program,211-52 213-62 464-2,2.369
CFAB65,FATU16,6,5,23,139,0.261,14.43,1.33,1,program->program,89-108 170-126 454-35,2.355
PEDI118,PEDI1,8,8,25,489,0.32,5.03,1.38,0,program->program,383-49 590-0 608-57,2.348
TERC9,RECE7,3,3,10,70,0.3,32.96,1.42,1,program->program,529-0 716-12 717-0,2.347
FATU110,FATU2,19,7,69,316,0.275,6.7,1.32,0,program->program,133-1 151-17 211-104,2.331
CEXC109,PEDI1,10,10,34,489,0.294,4.63,1.33,1,program->program,522-5 573-126 923-0,2.331
MPSP5,EPRO15,61,33,255,652,0.239,2.82,1.2,1,program->program,10-1 80-5 103-12,2.326
TERC1,FATU2,9,8,33,316,0.273,6.64,1.32,1,program->program,211-32 310-2 625-2,2.325
