program;description;menu name;type;auto description (for reference)
FATU7;;Relatório Notas Fiscais;Programa;FATU7 – Relatório Notas Fiscais. Tipo: Programa. Variações no menu: Relatório Notas Fiscais - 64 bits. Documentos: Relatório Notas Fiscais – FATU7.
EPRO9;;Classificações Fiscais;Programa;EPRO9 – Classificações Fiscais. Tipo: Programa. Documentos: Classificações fiscais - EPRO9.
ESTO49;;Relatório Análise Estoque;Programa;ESTO49 – Relatório Análise Estoque. Tipo: Programa. Variações no menu: Relatório Análise Estoque - 64B. Termos frequentes: produtos sem movimentação, demanda média. Documentos: Relatório Análise Estoque_Relatório para identificar produtos sem movimentação - ESTO49.
ESTO14;;Relatório Posição Estoque por Empresa;Relatório;ESTO14 – Relatório Posição Estoque por Empresa. Tipo: Relatório. Variações no menu: Relatório Posição Estoque.
FATU59;;Controle de;Programa;"FATU59 – Controle de. Tipo: Programa. Variações no menu: Controle de Embarque; Controle de Embarques - Estofados."
RECE35;;Recebimento de Notas de Empresa do Mesmo Grupo;Programa;"RECE35 – Recebimento de Notas de Empresa do Mesmo Grupo. Tipo: Programa. Variações no menu: Recebimento de Notas de Empresa do Mesmo Grupo - Loc 9981; Recebimento de Notas de Empresa do mesmo Grupo (p/ Oficinas) - EBER GONZALES. Documentos: Recebimento de Notas de Empresa do mesmo Grupo – RECE35."
EPRO3;;Unidades de Medida;Programa;EPRO3 – Unidades de Medida. Tipo: Programa. Documentos: Unidades de Medida - EPRO3.
ADMI228;;Transportadora Preferencial;Programa;ADMI228 – Transportadora Preferencial. Tipo: Programa. Documentos: Transportadora Preferencial – ADMI228.
VEND12;;Análise de Crédito de Pedidos;Programa;VEND12 – Análise de Crédito de Pedidos. Tipo: Programa. Variações no menu: Análise de Crédito de Pedidos - Pedido Simplificado.
VEND97;;Faturamento Antecipado;Programa;VEND97 – Faturamento Antecipado. Tipo: Programa. Documentos: Faturamento Antecipado-VEND97.
FATU165;;Emissão Etiqueta com Documento Fiscal (AREZZO);Relatório;FATU165 – Emissão Etiqueta com Documento Fiscal (AREZZO). Tipo: Relatório.
RECE42;;Retornos de Remessa;Programa;"RECE42 – Retornos de Remessa. Tipo: Programa. Variações no menu: Retornos de Remessa Industrialização - Automático; Retornos de Remessa Beneficiamento - Automático - Pré Recebimento. Termos frequentes: remessa industrialização automático, suprimentos recebimento notas, itens da operação, documento referencia, vlr unitário. Documentos: Retornos de Remessa Industrialização – Automático - RECE42."
CEXC83;;Plano Mestre de Produção;Programa;"CEXC83 – Plano Mestre de Produção. Tipo: Programa. Variações no menu: Plano Mestre de Produção O.F. Pedido 48470; Relatório Plano Mestre de Produção c/ Componentes... Termos frequentes: relatório plano mestre, data e hora, condição deverá ordenar. Documentos: Relatório Plano Mestre de Produção com Componentes - CEXC83."
PREC23;;Lançamento de Aplicação/Restrição de Recurso;Programa;PREC23 – Lançamento de Aplicação/Restrição de Recurso. Tipo: Programa.
CEXC55;;Emissão Ordem de Fabricação 1 Processo;Programa;CEXC55 – Emissão Ordem de Fabricação 1 Processo. Tipo: Programa.
CEXC56;;Emissão Ordem de Fabricação 1 Processo;Relatório;CEXC56 – Emissão Ordem de Fabricação 1 Processo. Tipo: Relatório.
PEDI5;;Pedido de Venda;Relatório;"PEDI5 – Pedido de Venda. Tipo: Relatório. Variações no menu: Pedido de Venda Qtd Secundária.; Pedido de Venda Qtd Secundária Sem Valor; Emissão de Pedido (Quantidade Secundaria); Pedido de Venda - PEDI5_UM_SECUNDARIA_SEM_VALOR. Documentos: Relatório Pedido de Venda - PEDI5."
CFAB106;;Manutenção de Transferência OF;Programa;CFAB106 – Manutenção de Transferência OF. Tipo: Programa. Termos frequentes: origem da cópia, venda própria, quantidades informadas. Documentos: Manutenção de Transferência OF - CFAB106.
EPRO23;;Relatório Estruturação de Produto;Programa;EPRO23 – Relatório Estruturação de Produto. Tipo: Programa.
PEDI9;;Posição de Pedidos;Programa;"PEDI9 – Posição de Pedidos. Tipo: Programa. Variações no menu: Posição de Pedidos - Representante; Posição de Pedidos - Vendedor. Documentos: Posição Pedidos - PEDI9."
VEND79;;Relatório Posição de Pedidos (Detalhado);Relatório;VEND79 – Relatório Posição de Pedidos (Detalhado). Tipo: Relatório.
TERC5;;Exclusão Retorno;Programa;TERC5 – Exclusão Retorno. Tipo: Programa. Documentos: Exclusão Retorno – TERC5.
MIND6;;Relatório Pedido de Serviço;Relatório;MIND6 – Relatório Pedido de Serviço. Tipo: Relatório.
MIND7;;Relatório Manutenção por Vencer;Programa;MIND7 – Relatório Manutenção por Vencer. Tipo: Programa. Termos frequentes: encerrados. Documentos: Relatório Manutenção por Vencer – MIND7.
