"PROGRAMA","DESCRICAO","TIPO"
"LFIS13","Livro Registro de Entradas - P1A","Relatório"
"LFIS20","Livro Registro de Entradas - P1 C/ Remet","Relatório"
"LFIS21","Livro Registro de Saídas - P2","Relatório"
"LFIS22","Livro Registro de Saídas - P2A","Relatório"
"RECE7","Retornos de Remessa Industrialização - Com Apontamento Produção, Cat Pedido 6","Programa"
"LFIS30","Resumo Impostos Registro de Entrada","Relatório"
"TERC1","Remessa.","Programa"
"TERC2","Retorno (Com Apontamento Produção/Com Código de Barras)","Programa"
"CFAB10","Estorno Apontamento de Ordem de Fabricação - MANUAL - PLANO PROD","Programa"
"PREC28","Ficha de Operações por Produto","Programa"
"CBAN19","Consulta Lançamentos","Programa"
"CBAN24","Consulta Pagamentos","Programa"
"CBAN23","Consulta Recebimentos","Programa"
"CBAN25","Emissão Cópia de Cheques","Programa"
"CBAN26","Emissão Cópia de Cheques","Relatório"
"CBAN22","Emissão de Cheques","Programa"
"CBAN21_SICOOB","01 - Emissão de Cheques","Relatório"
"CPAG30","Retorno Pagamento Escritural","Programa"
"CPAG28","Relatório Remessa Pagamento Escritural","Programa"
"CPAG29","Relatório Retorno Pagamento Escritural","Programa"
"CPAG66","Remessa Pagamento Escritural","Relatório"
"CPAG33","Retorno Pagamento Escritural","Relatório"
"COMP9","Pedidos de Compra","Relatório"
"VEND21","Grupos de Responsáveis","Programa"
"ESTO22","Transferência Estoque para Produção","Programa"
"CREC31","Retorno Cobrança Escritural","Programa"
"CREC29","Relatório Remessa Cobrança Escritural","Programa"
"CREC33","Relatório Remessa Cobrança Escritural","Relatório"
"CREC30","Relatório Retorno Cobrança Escritural","Programa"
"VEND11","Configuração Período Comissões/Royaltes","Programa"
"VEND9","Conta Corrente Comissões (Agentes)","Programa"
"VEND9","Conta Corrente Comissões (Representantes)","Programa"
"VEND9","Conta Corrente Comissões (Supervisores)","Programa"
"VEND9","Conta Corrente Comissões (Vendedores)","Programa"
"VEND7","Relatório Conta Corrente Comissões","Programa"
"VEND8","Conta Corrente Comissões (Detalhado)","Relatório"
"VEND92","Conta Corrente Comissões (Padrão)","Relatório"
"VEND17","Conta Corrente Comissões (Resumido)","Relatório"
"VEND15","Relatório Demonstrativo Comissões","Programa"
"VEND18","Demonstrativo Comissões","Relatório"
"VEND13","Cotas de Vendas (Representantes)","Programa"
"VEND13","Cotas de Vendas (Vendedores)","Programa"
"VEND122","Planejamento de Vendas Frigorifico","Programa"
"CREC35","Texto Padrão Emissão Cartas","Programa"
"CREC36","Emissão Carta de Anuência","Programa"
"CREC38","Carta de Anuência","Relatório"
"CREC42","Emissão Carta de Cobrança","Programa"
"CREC43","Carta de Cobrança","Relatório"
"CREC39","Emissão Carta de Instrução Bancária","Programa"
"CREC40","Carta de Instrução Bancária","Relatório"
"COMP19","Plano de Necessidades de Compras","Relatório"
"PEDI1","Pedidos de Venda - Representante","Programa"
"PEDI5","Pedido de Venda","Relatório"
"CFAB1","Apontamento de Ordem de Fabricação - Corte","Programa"
"CEXC1074","Pedido Compra","Relatório"
"PATR6","Catálogo de Bens","Programa"
"PEDI3","Cancelamento de Entrega Pedido","Programa"
"LFIS23","Apuração ICMS","Programa"
"LFIS25","Apuração IPI","Programa"
"LFIS24","Apuração ICMS","Relatório"
"LFIS26","Apuração IPI","Relatório"
"ADMI75","Ocorrências/Pendências","Relatório"
"FATU2","Notas Fiscais de Saída - Transf. ICMS","Programa"
"ESTO28_OKS","Emissão de Requisições - Matricial","Relatório"
"ESTO27","Emissão de Requisições.","Programa"
"ESTO138","Emissão de Requisições - Gráfico","Relatório"
"VEND33","Copia Lista de Preço","Programa"
"CFAB24","Posição do Plano de Produção (KDR)","Programa"
"ADMI92","003 - Fórmula de Cálculo","Programa"
"CPAG4","Operações contas a receber","Programa"
"EPRO11","Variação de Consumo","Programa"
"ADMI33","Cargos","Programa"
"ADMI25","Permissões","Programa"
"PREC6","Operações","Programa"
"PREC4","Funções","Programa"
"ADMI2","Grupo de Usuários","Programa"
"CREC2","Cobranças","Programa"
"CREC1","Tipos de Cobrança","Programa"
"PREC1","Turnos","Programa"
"FATU1","Fundamentação Legal - IPI","Programa"
"FATU1","Fundamentação Legal - ICMS","Programa"
"ADMI3","Idioma","Programa"
"ADMI4","Configuração de Impressoras","Programa"
"ADMI37","Fornecedores","Programa"
"ADMI39","Transportadoras","Programa"
"ADMI40","Agentes","Programa"
"IQUA3","Nível de Amostragem","Programa"
"COMP1","Compradores","Programa"
"RECE2","Operações - Recebimento","Programa"
"PEDI1","Pedidos de Venda - Normal","Programa"
"CPAG6","Espécie- Contas a Pagar","Programa"
"CPAG6","Espécie- Contas a Receber","Programa"
"MPSP2","Planejamento","Programa"
"COMP3","Pedidos de Compra - com alteração liberada","Programa"
"ADMI47","Planta de Seguro","Programa"
"CPAG3","Ocorrências","Programa"
"MPSP5","Plano de Produção - UTILIZA_DATAS_PLANEJAMENTO = S","Programa"
"ADMI51","Cotações de Moeda","Programa"
"MPSP4","Tipo de Cálculo","Programa"
"ADMI41","Vendedores","Programa"
"ADMI43","Supervisores","Programa"
"ADMI44","Localização","Programa"
"RECE1","Configuração de Classes de Operações","Programa"
"COMP2","Grupos de Compradores","Programa"
"CONT7","Análise de Balanço","Programa"
"CONT10","Configuração Origem Contas Contábeis","Programa"
"ADMI26","Propriedades ( chamada pelo menu Propriedades )","Programa"
"CONT8","Variável de Contabilidade","Programa"
"CONT9","Variável de Contabilidade 2","Programa"
"CBAN9","Controle Cheques de Terceiros","Programa"
"PREC13","Lançamento de Eventos","Programa"
"COMP14","Cotações Compra Estrutura Produto Sem Condição","Programa"
"FATU11","Relatório Imposto","Relatório"
"ESTO13","Relatório Posição Estoque","Programa"
"ESTO14","Relatório Posição Estoque","Relatório"
"CEXC1101","Emissão de Talão (1 PROCESSO) T&A","Programa"
"MPSP8","Relatório Plano Mestre de Produção O.F. Modelo 2","Programa"
"CFAB1","Apontamento de Lote","Programa"
"CFAB1","Apontamento de Talão","Programa"
"ADMI55","Ocultação","Programa"
"ADMI57","Terceirizados","Programa"
"ADMI57","Preposto","Programa"
"CPAG8","Relatório Documentos","Relatório"
"CPAG9","Relatório Lançamentos","Programa"
"CREC9","Análise ABC de Documentos/Clientes","Programa"
"CPAG13","Relatório Saldos Agrupados por Intervalo de Dias","Programa"
"CPAG19","Estatística Financeira","Programa"
"CREC16","Livro Diário Auxiliar de Clientes","Relatório"
"CPAG21","Livro Razão","Relatório"
"CFAB4","Faixas Horárias","Programa"
"CBAN11","Relatório Lançamentos Data","Relatório"
"CBAN12","Relatório Lançamentos Operação","Relatório"
"CPAG27","Remessa Pagamento Escritural","Programa"
"CBAN1","Bancos","Programa"
"CBAN1","Caixa","Programa"
"ADMI60","Centro de Distribuição","Programa"
"ESTO11","Relatório Consumos","Programa"
"ESTO12","Relatório Consumos","Relatório"
"COMP13","Plano de Necessidades de Compras","Programa"
"FATU8","Relatório Notas Fiscais","Relatório"
"CFAB5","Relatório Resumo Produção Recurso - Com Grade","Programa"
"EPRO50","Relatório Especificações Técnicas Lista Materiais (Curtume)","Programa"
"CFAB7","Emissão Ordem de Fabricação- CALI","Programa"
"MPSP6","Relatório Programação Prevista X Realizada","Programa"
"PEDI6","Emissão de Pedidos","Programa"
"ESTO15","Livro Inventário","Programa"
"ESTO16","Livro Inventário","Relatório"
"CPAG26","Configuração Pagamento Escritural","Programa"
"ESTO19","Registro Controle Produção e Estoque","Programa"
"ESTO17","Livro Inventário","Relatório"
"ESTO18","Livro Inventário","Relatório"
"ESTO20","Registro Controle Produção e Estoque","Relatório"
"CREC11","Relatório Saldos Agrupados por Intervalo de Dias","Programa"
"CREC10","Análise ABC de Documentos","Relatório"
"CPAG12","Análise ABC de Documentos","Relatório"
"ADMI42","Representantes","Programa"
"EPRO20","Configuração Especificação Técnica","Programa"
"ADMI48","Feriados","Programa"
"FATU5","Numeração de Notas Fiscais","Programa"
"FATU5","Numeração de Notas Fiscais","Programa"
"PREC9","Calendário Recursos","Programa"
"ADMI35","Clientes","Programa"
"RECE1","Configuração de Classes de Operações","Programa"
"RECE2","Operações - Faturamento","Programa"
"LFIS1","CFOP - Código Fiscal de Operação e Prestação","Programa"
"ADMI46","Vínculo Classe Operação/CFOP","Programa"
"FATU4","Configuração de Notas Fiscais","Programa"
"COMP4","Categorias de Pedido","Programa"
"FATU4","Configuração de Notas Fiscais","Programa"
"MPSP15","MPS","Programa"
"VEND4","Categoria Lista de Preço","Programa"
"VEND65","Conta Corrente Royaltes (Detalhado)","Relatório"
"VEND66","Conta Corrente Royaltes (Resumido)","Relatório"
"MPSP16","MPS","Programa"
"PEDI5","Pedido de Venda","Relatório"
"CFAB11_TERMOTEXTIL_2_OFS_PAG","Emissão Ordem de Fabricação","Relatório"
"CEXC1101","Emissão Ordem de Fabricação T&A","Programa"
"CFAB6","Resumo Produção Recurso","Relatório"
"MPSP17","MPS","Relatório"
"CONT2","Lote Contábil","Programa"
