cluster_a,cluster_b,links,keywords_a,keywords_b
41,56,6,"custeio, custo, recálculo","kunden systems, ocorrida, implantação"
72,141,6,"mrp, material, data cadastro","tinta, formula, acabamento"
88,92,6,"cri, ajuste, divergência","reclassificação, transferência localizações, lançamentos transferência"
110,112,6,"necessidades, compras, mrp","data base, fecha base, plano produção"
135,151,6,"lote, balanceado, cálculo","fabricação geração, plano mestre, mestre produção"
71,78,6,"empresa, mrp, tabela","and, select, nvl"
81,108,6,"ikronos, api, industrial manufatura","abastecimento, requisição, materiais"
49,51,6,"senha, alter, caio","email, envio, mails"
16,154,6,"manutenção industrial, transferência, centro trabalho","fornecedor, entrada, ontem"
98,116,6,"rota, pedidos faturamento, liberação pedidos","estorno, cancelamento, devolução"
154,158,6,"fornecedor, entrada, ontem","monitor, fiscais, notas"
86,116,6,"desconto, valor unitário, liquido","estorno, cancelamento, devolução"
94,102,6,"custo médio, unitário, suprimentos estoque","centro custo, requisição, contábil"
27,98,6,"romaneio, notas fiscais, fiscais rótulo","rota, pedidos faturamento, liberação pedidos"
89,145,6,"estoque futuro, localização, produção estoque","triangular, industrialização, beneficiamento"
81,153,6,"ikronos, api, industrial manufatura","plano mestre, mestre produção, relatório plano"
104,133,6,"cancelamento, entrega, cancelar","semi, ofs, acabado"
127,140,6,"setup, tempo, planejamento","recurso, planejamento, meta"
110,152,6,"necessidades, compras, mrp","mestre produção, plano mestre, forecast"
19,90,6,"fpv, preço venda, cálculo","material, materiais, componente"
17,56,6,"manutenção, preventiva, maquina","kunden systems, ocorrida, implantação"
57,122,6,"etiqueta, emissão, impressão","emissão ordem, chão, ordem fabricação"
101,122,6,"recursos, filtro, semana","emissão ordem, chão, ordem fabricação"
105,111,6,"cotação, compras, fornecedor","grade marcar, simplificado, venda"
30,31,6,"encaixotamento, talões, liberação faturamento","picking, rótulo, web"
46,62,6,"armazenagem, lotes, local","painel, web, expedição"
129,131,6,"entrega, categoria, venda","android, app, ivendre"
131,138,6,"android, app, ivendre","ivendre, semana, carrinhos"
65,134,6,"painel embalagem, embalagem web, web painel","quantidade peças, ivendre, bonés"
129,138,6,"entrega, categoria, venda","ivendre, semana, carrinhos"
28,129,6,"importação, edi, arquivo","entrega, categoria, venda"
105,129,6,"cotação, compras, fornecedor","entrega, categoria, venda"
131,143,6,"android, app, ivendre","desconto, comissão, preços"
22,51,6,"detalhamento teste, login, user","email, envio, mails"
129,143,6,"entrega, categoria, venda","desconto, comissão, preços"
113,130,6,"risco, crédito, analise","carteira, distribuição pedidos, pedidos relatórios"
30,125,6,"encaixotamento, talões, liberação faturamento","faturamento, expedição, rotulo"
105,110,6,"cotação, compras, fornecedor","necessidades, compras, mrp"
71,110,6,"empresa, mrp, tabela","necessidades, compras, mrp"
48,49,6,"ora, erro, mensagem","senha, alter, caio"
22,66,6,"detalhamento teste, login, user","painel, abate, animal"
22,106,6,"detalhamento teste, login, user","apontamento, web, coletor"
7,18,5,"revisão, bônus, painel","ção, ato, drawback"
3,8,5,"reg, status notas, mandatório","doccob, conemb, transportadora"
138,147,5,"ivendre, semana, carrinhos","ivendre, fotos, ios"
140,153,5,"recurso, planejamento, meta","plano mestre, mestre produção, relatório plano"
22,74,5,"detalhamento teste, login, user","cfop, icms, sped"
74,158,5,"cfop, icms, sped","monitor, fiscais, notas"
8,74,5,"doccob, conemb, transportadora","cfop, icms, sped"
48,51,5,"ora, erro, mensagem","email, envio, mails"
135,153,5,"lote, balanceado, cálculo","plano mestre, mestre produção, relatório plano"
72,90,5,"mrp, material, data cadastro","material, materiais, componente"
99,107,5,"back flush, flush materiais, apontamento","apontamento rótulos, fábrica lançamentos, lançamentos apontamento"
59,142,5,"navegador, impressora, atalho","impressora, impressão, monitor"
87,116,5,"diferença, custo médio, estoque","estorno, cancelamento, devolução"
57,61,5,"etiqueta, emissão, impressão","emissão etiqueta, etiqueta nota, rótulos emissão"
108,122,5,"abastecimento, requisição, materiais","emissão ordem, chão, ordem fabricação"
83,88,5,"brisa, revisão, skus","cri, ajuste, divergência"
88,93,5,"cri, ajuste, divergência","encerramento, encerrado, períodos"
88,91,5,"cri, ajuste, divergência","posição estoque, relatório, saldos rótulo"
116,126,5,"estorno, cancelamento, devolução","faturamento, liberação, pedidos"
45,92,5,"armazenagem, local, rótulos","reclassificação, transferência localizações, lançamentos transferência"
39,100,5,"controle lote, lotes, requisições","instrução, embarque, caixas"
89,153,5,"estoque futuro, localização, produção estoque","plano mestre, mestre produção, relatório plano"
87,88,5,"diferença, custo médio, estoque","cri, ajuste, divergência"
42,76,5,"produtos fabricação, geração produtos, conta contábil","encerramento, finalização, proceso"
78,93,5,"and, select, nvl","encerramento, encerrado, períodos"
42,78,5,"produtos fabricação, geração produtos, conta contábil","and, select, nvl"
89,134,5,"estoque futuro, localização, produção estoque","quantidade peças, ivendre, bonés"
45,91,5,"armazenagem, local, rótulos","posição estoque, relatório, saldos rótulo"
67,88,5,"relatório posição, frigorificos, gerenciamento","cri, ajuste, divergência"
78,91,5,"and, select, nvl","posição estoque, relatório, saldos rótulo"
27,150,5,"romaneio, notas fiscais, fiscais rótulo","remessa, terceirização, industrialização"
95,121,5,"dólares, moeda, valor","exportação, packing, list"
86,148,5,"desconto, valor unitário, liquido","fiscais, nota, fiscal"
105,148,5,"cotação, compras, fornecedor","fiscais, nota, fiscal"
148,157,5,"fiscais, nota, fiscal","importação notas, fiscais importação, entrada xml"
116,155,5,"estorno, cancelamento, devolução","smart, sefaz, nfs"
155,158,5,"smart, sefaz, nfs","monitor, fiscais, notas"
157,158,5,"importação notas, fiscais importação, entrada xml","monitor, fiscais, notas"
27,158,5,"romaneio, notas fiscais, fiscais rótulo","monitor, fiscais, notas"
51,56,5,"email, envio, mails","kunden systems, ocorrida, implantação"
51,158,5,"email, envio, mails","monitor, fiscais, notas"
83,122,5,"brisa, revisão, skus","emissão ordem, chão, ordem fabricação"
45,89,5,"armazenagem, local, rótulos","estoque futuro, localização, produção estoque"
46,52,5,"armazenagem, lotes, local","rotulo, rótulo, operação"
87,108,5,"diferença, custo médio, estoque","abastecimento, requisição, materiais"
22,125,5,"detalhamento teste, login, user","faturamento, expedição, rotulo"
144,149,5,"retorno, industrialização, deposito","industrialização, retorno, remessa"
48,133,5,"ora, erro, mensagem","semi, ofs, acabado"
124,132,5,"operações, propriedade, ficha","eficiência, minutos, turno"
108,140,5,"abastecimento, requisição, materiais","recurso, planejamento, meta"
52,126,5,"rotulo, rótulo, operação","faturamento, liberação, pedidos"
54,72,5,"corrugado, rótulos, corrugada","mrp, material, data cadastro"
101,123,5,"recursos, filtro, semana","cartão, componente, emissão"
33,96,5,"gtin, ean, txt","coleção, estruturação produto, sub"
52,54,5,"rotulo, rótulo, operação","corrugado, rótulos, corrugada"
108,109,5,"abastecimento, requisição, materiais","planejamento vendas, cota, vendas planejamento"
131,136,5,"android, app, ivendre","planejamento vendas, vendas planejamento, vendas frigorífico"
19,48,5,"fpv, preço venda, cálculo","ora, erro, mensagem"
57,58,5,"etiqueta, emissão, impressão","etiquetas, impressora, impressão"
28,56,5,"importação, edi, arquivo","kunden systems, ocorrida, implantação"
78,100,5,"and, select, nvl","instrução, embarque, caixas"
47,108,5,"análise, representante, vendas","abastecimento, requisição, materiais"
51,78,5,"email, envio, mails","and, select, nvl"
40,43,5,"inspeção, laboratorial, inspección","cep, inspeção, lançamento"
14,51,5,"pdv, caixa, kunden","email, envio, mails"
67,110,5,"relatório posição, frigorificos, gerenciamento","necessidades, compras, mrp"
8,22,5,"doccob, conemb, transportadora","detalhamento teste, login, user"
18,121,5,"ção, ato, drawback","exportação, packing, list"
22,121,5,"detalhamento teste, login, user","exportação, packing, list"
54,121,5,"corrugado, rótulos, corrugada","exportação, packing, list"
22,76,5,"detalhamento teste, login, user","encerramento, finalização, proceso"
22,142,5,"detalhamento teste, login, user","impressora, impressão, monitor"
22,128,4,"detalhamento teste, login, user","consignação, operação, classe"
22,34,4,"detalhamento teste, login, user","labelli, api, job"
7,89,4,"revisão, bônus, painel","estoque futuro, localização, produção estoque"
129,146,4,"entrega, categoria, venda","proposta, ivendre, representante"
11,74,4,"tag, obrig rejeição, chave acesso","cfop, icms, sped"
74,148,4,"cfop, icms, sped","fiscais, nota, fiscal"
97,124,4,"engenharia, desenvolvimento produto, estruturação produto","operações, propriedade, ficha"
75,80,4,"classificação, produto destino, ficha técnica","características, categoria, preenchidas"
76,108,4,"encerramento, finalização, proceso","abastecimento, requisição, materiais"
69,115,4,"largura, produção agrupado, plano produção","apontamento, multitarefa, desvio"
52,59,4,"rotulo, rótulo, operação","navegador, impressora, atalho"
56,141,4,"kunden systems, ocorrida, implantação","tinta, formula, acabamento"
35,37,4,"raja, paquete, cantidad","está lendo, etiquetas medidora, medidora está"
42,56,4,"produtos fabricação, geração produtos, conta contábil","kunden systems, ocorrida, implantação"
56,93,4,"kunden systems, ocorrida, implantação","encerramento, encerrado, períodos"
122,124,4,"emissão ordem, chão, ordem fabricação","operações, propriedade, ficha"
144,145,4,"retorno, industrialização, deposito","triangular, industrialização, beneficiamento"
19,55,4,"fpv, preço venda, cálculo","mail assunto, desenvolvimento, queria entender"
16,67,4,"manutenção industrial, transferência, centro trabalho","relatório posição, frigorificos, gerenciamento"
45,88,4,"armazenagem, local, rótulos","cri, ajuste, divergência"
77,88,4,"cancelamento saldo, saldo embarque, reserva","cri, ajuste, divergência"
88,108,4,"cri, ajuste, divergência","abastecimento, requisição, materiais"
126,128,4,"faturamento, liberação, pedidos","consignação, operação, classe"
6,133,4,"satra, ticket, arquivo","semi, ofs, acabado"
31,45,4,"picking, rótulo, web","armazenagem, local, rótulos"
36,77,4,"mensagem knd, erro nimo, sequence","cancelamento saldo, saldo embarque, reserva"
133,151,4,"semi, ofs, acabado","fabricação geração, plano mestre, mestre produção"
55,68,4,"mail assunto, desenvolvimento, queria entender","relatório faturamento, assunto relatório, estornos"
41,76,4,"custeio, custo, recálculo","encerramento, finalização, proceso"
41,150,4,"custeio, custo, recálculo","remessa, terceirização, industrialização"
42,93,4,"produtos fabricação, geração produtos, conta contábil","encerramento, encerrado, períodos"
42,102,4,"produtos fabricação, geração produtos, conta contábil","centro custo, requisição, contábil"
39,40,4,"controle lote, lotes, requisições","inspeção, laboratorial, inspección"
108,152,4,"abastecimento, requisição, materiais","mestre produção, plano mestre, forecast"
108,116,4,"abastecimento, requisição, materiais","estorno, cancelamento, devolução"
45,107,4,"armazenagem, local, rótulos","apontamento rótulos, fábrica lançamentos, lançamentos apontamento"
150,154,4,"remessa, terceirização, industrialização","fornecedor, entrada, ontem"
55,100,4,"mail assunto, desenvolvimento, queria entender","instrução, embarque, caixas"
48,155,4,"ora, erro, mensagem","smart, sefaz, nfs"
116,157,4,"estorno, cancelamento, devolução","importação notas, fiscais importação, entrada xml"
126,148,4,"faturamento, liberação, pedidos","fiscais, nota, fiscal"
74,126,4,"cfop, icms, sped","faturamento, liberação, pedidos"
19,102,4,"fpv, preço venda, cálculo","centro custo, requisição, contábil"
66,108,4,"painel, abate, animal","abastecimento, requisição, materiais"
41,132,4,"custeio, custo, recálculo","eficiência, minutos, turno"
103,126,4,"embarque parcial, reserva, aceita embarque","faturamento, liberação, pedidos"
44,128,4,"devolução, devoluções, cep","consignação, operação, classe"
22,27,4,"detalhamento teste, login, user","romaneio, notas fiscais, fiscais rótulo"
22,96,4,"detalhamento teste, login, user","coleção, estruturação produto, sub"
20,27,4,"controle embarque, embarque web, rótulos","romaneio, notas fiscais, fiscais rótulo"
19,150,4,"fpv, preço venda, cálculo","remessa, terceirização, industrialização"
