cluster,size,keywords,top_module,module_purity,modules,record_types,documents,largest_doc_share,cohesion,example
43,55,"cep, inspeção, lançamento, controle estatístico, manufatura controle, laudo",CPRO,0.85,CPRO:22 CFAB:2 ESTO:1 RECE:1,pedido:39 documentacao:14 email:2,23,0.22,0.776,CPRO20 — LANCAMENTOS (CEP) - CRIAR CADASTRO DE PADRONIZACAO DE CEP PARA TRAZER SUGERIDO NA ABERTURA
44,32,"devolução, devoluções, cep, localização, qualidade, evento",FATU,0.55,FATU:12 CPRO:8 PEDI:1 ESTO:1,documentacao:18 pedido:10 email:4,9,0.53,0.813,Indcadores (CPRO1) — Para o usuário o processo será
45,49,"armazenagem, local, rótulos, locais, lote, lido",ESTO,0.75,ESTO:12 PEDI:2 MPSP:1 CEXT:1,pedido:31 documentacao:15 email:2 teste:1,17,0.27,0.784,Locais de Armazenagem (EPRO26) — Cadastro de Rótulos nos Locais de Armazenagem via Coletor
46,19,"armazenagem, lotes, local, painel, reetiquetamento, emitido",,,,pedido:10 documentacao:7 email:1 teste:1,9,0.42,0.808,"CEXC9 — controle unitário, painel de reetiquetamento, visível na geração"
47,25,"análise, representante, vendas, meta, caracteristicas, agrupamentos",VEND,1.0,VEND:1,pedido:21 email:3 documentacao:1,2,0.96,0.813,"análise de vendas, somar agrupar suprimir, selecionados até níveis"
48,76,"ora, erro, mensagem, found, sql, motivo",MPSP,0.31,MPSP:12 PEDI:7 FATU:5 EPRO:4,documentacao:44 email:20 pedido:12,37,0.28,0.764,"Gera NF Ordem Transferência (MIND16) — dados não encontrados, erro numérico, venda e distribuição"
49,18,"senha, alter, caio, account unlock, código erro, jose",ADMI,0.67,ADMI:4 FATU:1 MIND:1,email:11 documentacao:7,8,0.44,0.776,Usuários (ADMI1) — Questão da usuária Cibele está OK....ela estava bloqueada no banco
50,25,"sys, camino, oracle, fotos, file, paint",EPRO,0.58,EPRO:11 PEDI:6 FATU:1 ADMI:1,email:14 documentacao:10 pedido:1,8,0.44,0.745,Importação Pedidos de Venda (PEDI14) — IMPORTACION PEDIDO EDI
51,78,"email, envio, mails, enviar, conta, configuração",ADMI,0.52,ADMI:11 COMP:8 FATU:2,documentacao:28 pedido:27 email:22 teste:1,25,0.38,0.738,"ADMI154 — envio de e-mail, utilizando as teclas, cadastro do fornecedor"
52,78,"rotulo, rótulo, operação, etiqueta, coletor, unidade produto",FATU,0.56,FATU:5 PEDI:2 CFAB:2,pedido:36 documentacao:25 email:17,19,0.31,0.772,"Consulta Etiqueta Unidade Produto (CFAB56) — bat para impressão, arquivo e imprime, num rotulo"
53,16,"etiqueta, impressa, embalagem, xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx, impressoras argox, embalagens",EPRO,0.5,EPRO:2 PEDI:2,pedido:13 documentacao:3,6,0.62,0.829,"produto for controlado, web manufatura alteração, venda quando confirmado"
